category,laureate_id,laureate_name,prize_year,decade,pub_year,title,paper_id,is_prize_winning_paper,author_count
Physics,10153,"blackett, pms",1948,1940,1933.0,some photographs of the tracks of penetrating radiation,2161454420.0,YES,2
Physics,10154,"appleton, ev",1947,1940,1925.0,on some direct evidence for downward atmospheric reflection of electric rays,2157392200.0,YES,2
Physics,10154,"appleton, ev",1947,1940,1925.0,local reflection of wireless waves from the upper atmosphere,2089912494.0,YES,2
Physics,10155,"bridgman, pw",1946,1940,1914.0,change of phase under pressure i the phase diagram of eleven substances with especial reference to the melting curve,1997867994.0,YES,1
Physics,10155,"bridgman, pw",1946,1940,1914.0,two new modifications of phosphorus,2313216101.0,YES,1
Physics,10155,"bridgman, pw",1946,1940,1914.0,the coagulation of albumen by pressure,1606860533.0,YES,
Physics,10156,"pauli, w",1945,1940,1925.0,uber den zusammenhang des abschlusses der elektronengruppen im atom mit der komplexstruktur der spektren,2091489183.0,YES,1
Physics,10157,"rabi, ii",1944,1940,1938.0,a new method of measuring nuclear magnetic moment,2037363234.0,YES,4
Physics,10158,"stern, o",1943,1940,1922.0,der experimentelle nachweis des magnetischen moments des silberatoms,2069807188.0,YES,2
Physics,10158,"stern, o",1943,1940,1922.0,the magnetic moment of silver atoms,2596075454.0,YES,2
Physics,10159,"lawrence, eo",1939,1930,1931.0,the production of high speed light ions without the use of high voltages,2041154484.0,YES,2
Physics,10159,"lawrence, eo",1939,1930,1931.0,the production of heavy high speed ions without the use of high voltages,2050884299.0,YES,2
Physics,10160,"fermi, e",1938,1930,1934.0,an attempt of a theory of beta radiation 1,2128675669.0,YES,1
Physics,10161,"davisson, cj",1937,1930,1927.0,diffraction of electrons by a crystal of nickel,2059898013.0,YES,2
Physics,10162,"thomson, gp",1937,1930,1927.0,diffraction of cathode rays by a thin film,1999033607.0,YES,2
